book,chapter,rouge1_precision_sshleifer/distilbart-cnn-12-6,rouge1_recall_sshleifer/distilbart-cnn-12-6,rouge1_fmeasure_sshleifer/distilbart-cnn-12-6,rouge2_precision_sshleifer/distilbart-cnn-12-6,rouge2_recall_sshleifer/distilbart-cnn-12-6,rouge2_fmeasure_sshleifer/distilbart-cnn-12-6,rougeL_precision_sshleifer/distilbart-cnn-12-6,rougeL_recall_sshleifer/distilbart-cnn-12-6,rougeL_fmeasure_sshleifer/distilbart-cnn-12-6,rouge1_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge1_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge1_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train
9781908541024,ch_12,0.2558139534883721,0.4074074074074074,0.3142857142857143,0.0,0.0,0.0,0.18604651162790697,0.2962962962962963,0.22857142857142856,0.2,0.14814814814814814,0.1702127659574468,0.05263157894736842,0.038461538461538464,0.044444444444444446,0.2,0.14814814814814814,0.1702127659574468
9781908541024,ch_12,0.13043478260869565,0.15789473684210525,0.14285714285714288,0.0,0.0,0.0,0.13043478260869565,0.15789473684210525,0.14285714285714288,0.08333333333333333,0.05263157894736842,0.06451612903225808,0.0,0.0,0.0,0.08333333333333333,0.05263157894736842,0.06451612903225808
9781908541024,ch_12,0.15,0.23076923076923078,0.18181818181818185,0.0,0.0,0.0,0.125,0.19230769230769232,0.15151515151515152,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385
9781908541024,ch_12,0.08823529411764706,0.3,0.13636363636363635,0.030303030303030304,0.1111111111111111,0.047619047619047616,0.08823529411764706,0.3,0.13636363636363635,0.07407407407407407,0.2,0.10810810810810811,0.0,0.0,0.0,0.07407407407407407,0.2,0.10810810810810811
9781910797105,ch05,0.10526315789473684,0.4444444444444444,0.1702127659574468,0.0,0.0,0.0,0.05263157894736842,0.2222222222222222,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9781910797105,ch05,0.21052631578947367,0.6153846153846154,0.3137254901960784,0.08108108108108109,0.25,0.12244897959183675,0.18421052631578946,0.5384615384615384,0.2745098039215686,0.6,0.46153846153846156,0.5217391304347826,0.3333333333333333,0.25,0.28571428571428575,0.6,0.46153846153846156,0.5217391304347826
9781910797105,ch05,0.13157894736842105,0.45454545454545453,0.2040816326530612,0.05405405405405406,0.2,0.0851063829787234,0.13157894736842105,0.45454545454545453,0.2040816326530612,0.1,0.09090909090909091,0.09523809523809525,0.0,0.0,0.0,0.1,0.09090909090909091,0.09523809523809525
9781910797105,ch05,0.17647058823529413,0.5454545454545454,0.26666666666666666,0.06060606060606061,0.2,0.0930232558139535,0.14705882352941177,0.45454545454545453,0.22222222222222224,0.125,0.2727272727272727,0.17142857142857143,0.043478260869565216,0.1,0.06060606060606061,0.125,0.2727272727272727,0.17142857142857143
9781910797105,ch05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.3333333333333333,0.21428571428571427,0.0,0.0,0.0,0.10526315789473684,0.2222222222222222,0.14285714285714285
9781910797105,ch05,0.08333333333333333,0.3,0.13043478260869565,0.0,0.0,0.0,0.08333333333333333,0.3,0.13043478260869565,0.05263157894736842,0.1,0.06896551724137931,0.0,0.0,0.0,0.05263157894736842,0.1,0.06896551724137931
9781908541420,ch_6,0.16666666666666666,0.17391304347826086,0.1702127659574468,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.16666666666666666,0.17391304347826086,0.1702127659574468,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.3076923076923077,0.17391304347826086,0.2222222222222222
9781908541420,ch_6,0.29411764705882354,0.23809523809523808,0.2631578947368421,0.09090909090909091,0.07317073170731707,0.08108108108108109,0.14705882352941177,0.11904761904761904,0.13157894736842105,0.5,0.38095238095238093,0.4324324324324324,0.3870967741935484,0.2926829268292683,0.3333333333333333,0.46875,0.35714285714285715,0.40540540540540543
9781908541420,ch_6,0.12195121951219512,0.29411764705882354,0.17241379310344826,0.025,0.0625,0.03571428571428572,0.0975609756097561,0.23529411764705882,0.13793103448275862,0.0625,0.058823529411764705,0.06060606060606061,0.0,0.0,0.0,0.0625,0.058823529411764705,0.06060606060606061
9781908541420,ch_6,0.13333333333333333,0.26666666666666666,0.17777777777777776,0.034482758620689655,0.07142857142857142,0.046511627906976744,0.13333333333333333,0.26666666666666666,0.17777777777777776,0.13793103448275862,0.26666666666666666,0.18181818181818182,0.03571428571428571,0.07142857142857142,0.047619047619047616,0.13793103448275862,0.26666666666666666,0.18181818181818182
9781908541420,ch_6,0.13333333333333333,0.4444444444444444,0.20512820512820512,0.06896551724137931,0.25,0.1081081081081081,0.13333333333333333,0.4444444444444444,0.20512820512820512,0.05263157894736842,0.1111111111111111,0.07142857142857142,0.0,0.0,0.0,0.05263157894736842,0.1111111111111111,0.07142857142857142
9781908541420,ch_6,0.25,0.9090909090909091,0.392156862745098,0.1794871794871795,0.7,0.2857142857142857,0.25,0.9090909090909091,0.392156862745098,0.9,0.8181818181818182,0.8571428571428572,0.7777777777777778,0.7,0.7368421052631577,0.9,0.8181818181818182,0.8571428571428572
