book,chapter,rouge1_precision_sshleifer/distilbart-cnn-12-6,rouge1_recall_sshleifer/distilbart-cnn-12-6,rouge1_fmeasure_sshleifer/distilbart-cnn-12-6,rouge2_precision_sshleifer/distilbart-cnn-12-6,rouge2_recall_sshleifer/distilbart-cnn-12-6,rouge2_fmeasure_sshleifer/distilbart-cnn-12-6,rougeL_precision_sshleifer/distilbart-cnn-12-6,rougeL_recall_sshleifer/distilbart-cnn-12-6,rougeL_fmeasure_sshleifer/distilbart-cnn-12-6
9781910797631,chp6,0.18604651162790697,0.19047619047619047,0.18823529411764706,0.0,0.0,0.0,0.09302325581395349,0.09523809523809523,0.09411764705882353
9781910797631,chp6,0.1875,0.125,0.15,0.0,0.0,0.0,0.09375,0.0625,0.075
9781910797631,chp6,0.2972972972972973,0.34375,0.3188405797101449,0.05555555555555555,0.06451612903225806,0.059701492537313425,0.16216216216216217,0.1875,0.17391304347826086
9781910797631,chp6,0.20689655172413793,0.24,0.22222222222222224,0.03571428571428571,0.041666666666666664,0.03846153846153846,0.13793103448275862,0.16,0.14814814814814817
9781910797631,chp6,0.0975609756097561,0.16,0.12121212121212122,0.0,0.0,0.0,0.07317073170731707,0.12,0.0909090909090909
9781910797426,ch03,0.5384615384615384,1.0,0.7000000000000001,0.47368421052631576,0.9,0.6206896551724138,0.5128205128205128,0.9523809523809523,0.6666666666666666
9781910797426,ch03,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.22727272727272727,0.22727272727272727,0.22727272727272727
9781910797426,ch03,0.1935483870967742,0.14634146341463414,0.16666666666666666,0.0,0.0,0.0,0.12903225806451613,0.0975609756097561,0.1111111111111111
9781910797426,ch03,0.3181818181818182,0.875,0.4666666666666667,0.2558139534883721,0.7333333333333333,0.3793103448275862,0.3181818181818182,0.875,0.4666666666666667
9781910797426,ch03,0.3541666666666667,0.6071428571428571,0.4473684210526316,0.2127659574468085,0.37037037037037035,0.2702702702702703,0.2708333333333333,0.4642857142857143,0.3421052631578947
9781908541277,ch_12,0.23529411764705882,0.42105263157894735,0.3018867924528302,0.06060606060606061,0.1111111111111111,0.0784313725490196,0.17647058823529413,0.3157894736842105,0.22641509433962262
9781908541277,ch_12,0.09375,0.2,0.12765957446808512,0.0,0.0,0.0,0.0625,0.13333333333333333,0.0851063829787234
9781908541277,ch_12,0.15625,0.29411764705882354,0.20408163265306123,0.06451612903225806,0.125,0.0851063829787234,0.125,0.23529411764705882,0.16326530612244897
9781908541277,ch_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9781908541277,ch_12,0.07692307692307693,0.15,0.1016949152542373,0.02631578947368421,0.05263157894736842,0.03508771929824561,0.05128205128205128,0.1,0.06779661016949151
9781908541277,ch_12,0.17391304347826086,0.26666666666666666,0.2105263157894737,0.022222222222222223,0.034482758620689655,0.027027027027027025,0.08695652173913043,0.13333333333333333,0.10526315789473685
9781908541277,ch_12,0.16666666666666666,0.45454545454545453,0.2439024390243902,0.034482758620689655,0.1,0.05128205128205129,0.1,0.2727272727272727,0.14634146341463417
9781908541277,ch_12,0.09259259259259259,0.2777777777777778,0.1388888888888889,0.018867924528301886,0.058823529411764705,0.028571428571428574,0.05555555555555555,0.16666666666666666,0.08333333333333333
9781910797907,chp6,0.52,0.5777777777777777,0.5473684210526315,0.32653061224489793,0.36363636363636365,0.3440860215053763,0.34,0.37777777777777777,0.3578947368421052
9781910797907,chp6,0.10256410256410256,0.2,0.13559322033898302,0.0,0.0,0.0,0.07692307692307693,0.15,0.1016949152542373
9781910797907,chp6,0.14705882352941177,0.25,0.18518518518518517,0.0,0.0,0.0,0.058823529411764705,0.1,0.07407407407407408
9781910797907,chp6,0.21951219512195122,0.3333333333333333,0.2647058823529412,0.0,0.0,0.0,0.12195121951219512,0.18518518518518517,0.14705882352941174
9781910797907,chp6,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.2608695652173913,0.3333333333333333,0.2926829268292683,0.4166666666666667,0.5263157894736842,0.46511627906976744
9781908541277,ch_8,0.07547169811320754,0.2222222222222222,0.11267605633802816,0.0,0.0,0.0,0.07547169811320754,0.2222222222222222,0.11267605633802816
9781908541277,ch_8,0.20512820512820512,0.47058823529411764,0.28571428571428564,0.05263157894736842,0.125,0.07407407407407407,0.20512820512820512,0.47058823529411764,0.28571428571428564
9781908541277,ch_8,0.10256410256410256,0.23529411764705882,0.14285714285714282,0.0,0.0,0.0,0.07692307692307693,0.17647058823529413,0.10714285714285716
9781910797006,ch08,0.10869565217391304,0.35714285714285715,0.16666666666666666,0.0,0.0,0.0,0.08695652173913043,0.2857142857142857,0.13333333333333333
9781910797006,ch08,0.13953488372093023,0.4,0.2068965517241379,0.023809523809523808,0.07142857142857142,0.03571428571428571,0.11627906976744186,0.3333333333333333,0.1724137931034483
9781910797006,ch08,0.13793103448275862,0.21052631578947367,0.16666666666666666,0.07142857142857142,0.1111111111111111,0.08695652173913043,0.10344827586206896,0.15789473684210525,0.125
9781910797006,ch08,0.13793103448275862,0.3076923076923077,0.1904761904761905,0.03571428571428571,0.08333333333333333,0.05,0.06896551724137931,0.15384615384615385,0.09523809523809525
9781910797006,ch08,0.10344827586206896,0.2727272727272727,0.15,0.03571428571428571,0.1,0.05263157894736841,0.06896551724137931,0.18181818181818182,0.1
9781910797006,ch08,0.17073170731707318,0.4117647058823529,0.24137931034482757,0.05,0.125,0.07142857142857144,0.12195121951219512,0.29411764705882354,0.17241379310344826
9781910797105,ch06,0.38636363636363635,1.0,0.5573770491803279,0.3488372093023256,0.9375,0.5084745762711865,0.38636363636363635,1.0,0.5573770491803279
9781910797105,ch06,0.1590909090909091,0.4117647058823529,0.22950819672131148,0.06976744186046512,0.1875,0.10169491525423728,0.1590909090909091,0.4117647058823529,0.22950819672131148
9781910797105,ch06,0.3125,0.625,0.4166666666666667,0.12903225806451613,0.26666666666666666,0.17391304347826086,0.3125,0.625,0.4166666666666667
9781910797105,ch06,0.1875,0.5294117647058824,0.27692307692307694,0.10638297872340426,0.3125,0.15873015873015872,0.16666666666666666,0.47058823529411764,0.24615384615384617
9781910797105,ch06,0.3148148148148148,1.0,0.4788732394366197,0.20754716981132076,0.6875,0.31884057971014496,0.24074074074074073,0.7647058823529411,0.36619718309859156
9781910797105,ch06,0.16666666666666666,0.5789473684210527,0.2588235294117647,0.12307692307692308,0.4444444444444444,0.1927710843373494,0.15151515151515152,0.5263157894736842,0.23529411764705885
9783318068207,hh-5,0.23333333333333334,0.3333333333333333,0.27450980392156865,0.0,0.0,0.0,0.13333333333333333,0.19047619047619047,0.1568627450980392
9783318068207,hh-5,0.0847457627118644,0.3125,0.13333333333333333,0.0,0.0,0.0,0.06779661016949153,0.25,0.10666666666666667
9783318068207,hh-5,0.14,0.4375,0.21212121212121213,0.04081632653061224,0.13333333333333333,0.0625,0.12,0.375,0.18181818181818182
9783318068207,hh-5,0.27450980392156865,0.7777777777777778,0.4057971014492754,0.14,0.4117647058823529,0.208955223880597,0.21568627450980393,0.6111111111111112,0.31884057971014496
9783318068207,hh-5,0.2608695652173913,0.2,0.22641509433962265,0.0,0.0,0.0,0.13043478260869565,0.1,0.11320754716981132
9781910797105,ch04,0.075,0.23076923076923078,0.11320754716981132,0.02564102564102564,0.08333333333333333,0.039215686274509796,0.075,0.23076923076923078,0.11320754716981132
