book,chapter,rouge1_precision_facebook/bart-base,rouge1_recall_facebook/bart-base,rouge1_fmeasure_facebook/bart-base,rouge2_precision_facebook/bart-base,rouge2_recall_facebook/bart-base,rouge2_fmeasure_facebook/bart-base,rougeL_precision_facebook/bart-base,rougeL_recall_facebook/bart-base,rougeL_fmeasure_facebook/bart-base
9781910797426,ch03,0.24489795918367346,0.46875,0.32171581769436997,0.11885245901639344,0.2283464566929134,0.15633423180592992,0.17551020408163265,0.3359375,0.23056300268096513
9781910797426,ch03,0.20242914979757085,0.390625,0.26666666666666666,0.024390243902439025,0.047244094488188976,0.032171581769437,0.08906882591093117,0.171875,0.11733333333333332
9781910797426,ch03,0.25102880658436216,0.4765625,0.32884097035040427,0.06611570247933884,0.12598425196850394,0.08672086720867209,0.14814814814814814,0.28125,0.1940700808625337
9781910797426,ch03,0.2459016393442623,0.46875,0.3225806451612903,0.05761316872427984,0.11023622047244094,0.07567567567567568,0.11475409836065574,0.21875,0.15053763440860216
9781910797426,ch03,0.2606837606837607,0.4765625,0.3370165745856354,0.06437768240343347,0.11811023622047244,0.08333333333333334,0.11965811965811966,0.21875,0.15469613259668508
9781910797426,ch03,0.3225806451612903,0.078125,0.12578616352201258,0.06666666666666667,0.015748031496062992,0.025477707006369428,0.25806451612903225,0.0625,0.10062893081761007
9781910797426,ch03,0.2857142857142857,0.484375,0.3594202898550724,0.06018518518518518,0.10236220472440945,0.07580174927113702,0.12442396313364056,0.2109375,0.15652173913043477
9781910797426,ch03,0.27802690582959644,0.484375,0.35327635327635326,0.0990990990990991,0.1732283464566929,0.12607449856733524,0.13452914798206278,0.234375,0.17094017094017094
9781910797426,ch03,0.20085470085470086,0.3671875,0.2596685082872928,0.034334763948497854,0.06299212598425197,0.04444444444444444,0.09829059829059829,0.1796875,0.1270718232044199
9781908541277,ch_12,0.2620689655172414,0.5100671140939598,0.34624145785877,0.0657439446366782,0.12837837837837837,0.08695652173913043,0.14482758620689656,0.28187919463087246,0.19134396355353075
9781908541277,ch_12,0.25925925925925924,0.4228187919463087,0.3214285714285714,0.05785123966942149,0.0945945945945946,0.07179487179487179,0.13580246913580246,0.2214765100671141,0.1683673469387755
9781908541277,ch_12,0.27424749163879597,0.5503355704697986,0.3660714285714286,0.087248322147651,0.17567567567567569,0.11659192825112107,0.1605351170568562,0.3221476510067114,0.2142857142857143
9781910797907,chp6,0.33587786259541985,0.6717557251908397,0.4478371501272265,0.13026819923371646,0.26153846153846155,0.17391304347826086,0.183206106870229,0.366412213740458,0.2442748091603053
9781910797907,chp6,0.2518796992481203,0.5114503816793893,0.33753148614609574,0.08679245283018867,0.17692307692307693,0.11645569620253163,0.15037593984962405,0.3053435114503817,0.20151133501259447
9781908541277,ch_8,0.09623430962343096,0.4423076923076923,0.15807560137457044,0.012605042016806723,0.058823529411764705,0.020761245674740487,0.06694560669456066,0.3076923076923077,0.1099656357388316
9781908541277,ch_8,0.08333333333333333,0.3269230769230769,0.1328125,0.009852216748768473,0.0392156862745098,0.015748031496062992,0.06862745098039216,0.2692307692307692,0.109375
9781908541277,ch_8,0.08163265306122448,0.38461538461538464,0.13468013468013468,0.004098360655737705,0.0196078431372549,0.006779661016949153,0.04081632653061224,0.19230769230769232,0.06734006734006734
9781908541277,ch_8,0.07003891050583658,0.34615384615384615,0.11650485436893206,0.0078125,0.0392156862745098,0.013029315960912053,0.05058365758754864,0.25,0.08414239482200647
9781908541277,ch_8,0.06854838709677419,0.3269230769230769,0.11333333333333333,0.004048582995951417,0.0196078431372549,0.006711409395973155,0.04032258064516129,0.19230769230769232,0.06666666666666667
9781908541277,ch_8,0.10144927536231885,0.40384615384615385,0.16216216216216217,0.02912621359223301,0.11764705882352941,0.04669260700389105,0.0821256038647343,0.3269230769230769,0.1312741312741313
9781908541277,ch_8,0.07984790874524715,0.40384615384615385,0.13333333333333333,0.019083969465648856,0.09803921568627451,0.03194888178913738,0.053231939163498096,0.2692307692307692,0.08888888888888888
9781908541277,ch_8,0.09961685823754789,0.5,0.16613418530351437,0.011538461538461539,0.058823529411764705,0.01929260450160772,0.04980842911877394,0.25,0.08306709265175719
9781908541277,ch_8,0.07627118644067797,0.34615384615384615,0.125,0.00425531914893617,0.0196078431372549,0.006993006993006994,0.05508474576271186,0.25,0.09027777777777778
9781908541277,ch_8,0.08786610878661087,0.40384615384615385,0.14432989690721648,0.012605042016806723,0.058823529411764705,0.020761245674740487,0.058577405857740586,0.2692307692307692,0.09621993127147767
9781908541277,ch_8,0.075,0.34615384615384615,0.1232876712328767,0.0041841004184100415,0.0196078431372549,0.00689655172413793,0.04583333333333333,0.21153846153846154,0.07534246575342465
9781908541277,ch_8,0.08333333333333333,0.40384615384615385,0.1381578947368421,0.0199203187250996,0.09803921568627451,0.033112582781456956,0.04365079365079365,0.21153846153846154,0.07236842105263158
9781908541277,ch_8,0.07692307692307693,0.38461538461538464,0.1282051282051282,0.0,0.0,0.0,0.05,0.25,0.08333333333333334
9781908541277,ch_8,0.07258064516129033,0.34615384615384615,0.12000000000000001,0.012145748987854251,0.058823529411764705,0.020134228187919462,0.04435483870967742,0.21153846153846154,0.07333333333333333
9781908541277,ch_8,0.08333333333333333,0.36538461538461536,0.1357142857142857,0.013215859030837005,0.058823529411764705,0.021582733812949638,0.06140350877192982,0.2692307692307692,0.09999999999999999
