book,chapter,rouge1_precision_sshleifer/distilbart-cnn-12-6,rouge1_recall_sshleifer/distilbart-cnn-12-6,rouge1_fmeasure_sshleifer/distilbart-cnn-12-6,rouge2_precision_sshleifer/distilbart-cnn-12-6,rouge2_recall_sshleifer/distilbart-cnn-12-6,rouge2_fmeasure_sshleifer/distilbart-cnn-12-6,rougeL_precision_sshleifer/distilbart-cnn-12-6,rougeL_recall_sshleifer/distilbart-cnn-12-6,rougeL_fmeasure_sshleifer/distilbart-cnn-12-6
9783318068207,hh-7,0.48936170212765956,0.0749185667752443,0.12994350282485875,0.13043478260869565,0.0196078431372549,0.03409090909090909,0.2978723404255319,0.04560260586319218,0.0790960451977401
9781910797631,chp6,0.3829787234042553,0.10465116279069768,0.1643835616438356,0.06521739130434782,0.017543859649122806,0.027649769585253458,0.19148936170212766,0.05232558139534884,0.0821917808219178
9781910797426,ch03,0.56,0.21875,0.3146067415730337,0.12244897959183673,0.047244094488188976,0.06818181818181818,0.28,0.109375,0.15730337078651685
9781908541277,ch_9,0.4625,0.18686868686868688,0.26618705035971224,0.1518987341772152,0.06091370558375635,0.08695652173913045,0.275,0.1111111111111111,0.15827338129496404
9781910797907,chp6,0.42857142857142855,0.25190839694656486,0.3173076923076923,0.13157894736842105,0.07692307692307693,0.0970873786407767,0.2597402597402597,0.15267175572519084,0.1923076923076923
9781908541277,ch_5,0.37254901960784315,0.15966386554621848,0.2235294117647059,0.04,0.01694915254237288,0.023809523809523808,0.23529411764705882,0.10084033613445378,0.1411764705882353
9781910797006,ch08,0.34146341463414637,0.15730337078651685,0.21538461538461537,0.125,0.056818181818181816,0.078125,0.1951219512195122,0.0898876404494382,0.12307692307692308
9781910797105,ch06,0.5319148936170213,0.24271844660194175,0.33333333333333337,0.15217391304347827,0.06862745098039216,0.09459459459459461,0.3191489361702128,0.14563106796116504,0.19999999999999998
9783318068207,hh-5,0.3492063492063492,0.18032786885245902,0.23783783783783788,0.016129032258064516,0.008264462809917356,0.01092896174863388,0.19047619047619047,0.09836065573770492,0.12972972972972974
9781910797105,ch04,0.27419354838709675,0.23943661971830985,0.2556390977443609,0.08196721311475409,0.07142857142857142,0.07633587786259541,0.1774193548387097,0.15492957746478872,0.16541353383458648
9781910797006,ch03,0.6363636363636364,0.16184971098265896,0.25806451612903225,0.16279069767441862,0.040697674418604654,0.06511627906976744,0.36363636363636365,0.09248554913294797,0.14746543778801843
9781908541406,ch_13,0.2903225806451613,0.21951219512195122,0.25,0.01639344262295082,0.012345679012345678,0.014084507042253521,0.1774193548387097,0.13414634146341464,0.1527777777777778
9781908541277,ch_12,0.5660377358490566,0.20134228187919462,0.297029702970297,0.17307692307692307,0.060810810810810814,0.09000000000000001,0.4528301886792453,0.1610738255033557,0.23762376237623759
9781910797815,chp3,0.711864406779661,0.24277456647398843,0.3620689655172414,0.3448275862068966,0.11627906976744186,0.17391304347826086,0.5423728813559322,0.18497109826589594,0.2758620689655172
9781910797310,chp3,0.37735849056603776,0.23529411764705882,0.2898550724637681,0.038461538461538464,0.023809523809523808,0.029411764705882353,0.16981132075471697,0.10588235294117647,0.13043478260869565
9781910797426,ch12,0.42105263157894735,0.18181818181818182,0.25396825396825395,0.08108108108108109,0.034482758620689655,0.04838709677419355,0.23684210526315788,0.10227272727272728,0.14285714285714288
9781908541024,ch_9,0.3448275862068966,0.29850746268656714,0.32,0.10526315789473684,0.09090909090909091,0.0975609756097561,0.25862068965517243,0.22388059701492538,0.24
9781910797617,chp6,0.4666666666666667,0.15819209039548024,0.23628691983122369,0.1016949152542373,0.03409090909090909,0.05106382978723404,0.3,0.1016949152542373,0.1518987341772152
9781908541994,ch02,0.3023255813953488,0.23636363636363636,0.26530612244897955,0.14285714285714285,0.1111111111111111,0.125,0.27906976744186046,0.21818181818181817,0.24489795918367344
9781910797471,ch05,0.5396825396825397,0.2698412698412698,0.35978835978835977,0.25806451612903225,0.128,0.17112299465240643,0.2857142857142857,0.14285714285714285,0.19047619047619047
9781910797105,ch08,0.47619047619047616,0.273972602739726,0.34782608695652173,0.1951219512195122,0.1111111111111111,0.1415929203539823,0.30952380952380953,0.1780821917808219,0.22608695652173913
9781912776207,ch4,0.28,0.23333333333333334,0.2545454545454545,0.061224489795918366,0.05084745762711865,0.05555555555555556,0.12,0.1,0.1090909090909091
9781910797495,chp9,0.43902439024390244,0.1925133689839572,0.26765799256505574,0.1111111111111111,0.04838709677419355,0.06741573033707865,0.2804878048780488,0.12299465240641712,0.17100371747211898
9781912776726,ch2,0.7111111111111111,0.18181818181818182,0.2895927601809955,0.5,0.12571428571428572,0.20091324200913244,0.7111111111111111,0.18181818181818182,0.2895927601809955
9781910797815,chp2,0.5925925925925926,0.39669421487603307,0.4752475247524752,0.225,0.15,0.18000000000000002,0.30864197530864196,0.2066115702479339,0.2475247524752475
9781910797433,ch05,0.3620689655172414,0.20588235294117646,0.2625,0.03508771929824561,0.019801980198019802,0.025316455696202528,0.1896551724137931,0.10784313725490197,0.1375
9781910797617,chp1,0.5172413793103449,0.18404907975460122,0.2714932126696833,0.17543859649122806,0.06172839506172839,0.091324200913242,0.3793103448275862,0.13496932515337423,0.1990950226244344
9781908541963,chapter11,0.27906976744186046,0.23076923076923078,0.25263157894736843,0.14285714285714285,0.11764705882352941,0.12903225806451615,0.18604651162790697,0.15384615384615385,0.16842105263157894
9781908541796,chapter1,0.32653061224489793,0.12903225806451613,0.18497109826589594,0.08333333333333333,0.032520325203252036,0.046783625730994156,0.22448979591836735,0.08870967741935484,0.12716763005780346
9781908541963,chapter2,0.29411764705882354,0.25862068965517243,0.27522935779816515,0.1,0.08771929824561403,0.09345794392523364,0.21568627450980393,0.1896551724137931,0.20183486238532108
